id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_0904200.1 1.2 1.56 1.62 4.47 10.12 11.18 10.56 3.86
PF3D7_0905400.1 41.28 7.31 1.8 1.46 1.34 7.61 337.13 1238.04
PF3D7_0908000.1 1.31 0.52 1.31 3.31 7.71 17.15 43 52.22
PF3D7_0911300.1 0.05 0.02 0.03 0.1 0.42 0.83 0.76 0.28
PF3D7_0911900.1 23.91 19.79 29.56 77.48 210.27 217.25 251.73 108.74
PF3D7_0916100.1 0.78 0.76 1.8 3.99 11.77 28.54 45.23 16.59
PF3D7_0917900.1 22.14 46.56 104.26 341.86 922.11 1392.77 2706.46 1911.73
PF3D7_0918000.1 13.86 2.93 1.08 1.69 13.24 124.03 494.21 610.96
PF3D7_0919400.1 0.42 0.21 0.16 0.22 1.58 22.16 80.09 65.79
PF3D7_0919500.1 0.08 0.05 0.06 0.1 2.87 8.85 7.51 3.32
PF3D7_0923300.1 0.08 0.19 0.28 1.14 4.32 3.18 1.58 0.62
PF3D7_0929400.1 12.2 2.06 0.49 0.43 0.67 6.12 152.25 439.46
PF3D7_0930300.1 205.75 44.42 7.14 4.07 3.62 59.9 754.62 1215.6
PF3D7_0935800.1 3.69 0.6 0.19 0.25 1.19 4.6 84.86 194.44
PF3D7_0936100.1 1.42 1.64 3.62 17.83 61.07 148.59 197.69 95.51
PF3D7_0936200.1 0.18 0.37 1.5 19.95 151.63 115.24 54.11 9.7
PF3D7_0936500.1 0.69 2.72 4.25 5.18 6.97 6.79 5.28 2.18
PF3D7_0937000.1 0.01 0 0.01 0.05 0.69 1.32 2.86 1.26
PF3D7_0937300.1 0.02 0.01 0.03 0.08 0.1 0.08 0.06 0.08
PF3D7_0937400.1 0.05 0.03 0.01 0.08 0.15 0 0.13 0.04
PF3D7_1000300.1 0.02 0.03 0.02 0 0 0 0 0.08
PF3D7_1000500.1 0 0 0.02 0.03 0.05 0.26 0 0.04
PF3D7_1000600.1 0.04 0.4 0.34 2.34 27.52 9.49 2.31 0.68
PF3D7_1001000.1 0.03 0.11 3.55 34.08 234.07 173.27 69.97 7.63
PF3D7_1001400.1 2.71 5.01 11.18 22.31 10.11 8.34 3.66 0.85
PF3D7_1001500.1 117.5 213.08 387.51 821.23 558.88 168.89 51.9 14.37
PF3D7_1001700.1 11.58 7.37 10.22 15.61 21.48 56.4 98.43 76.12
PF3D7_1012200.1 45.58 7.29 1.45 1.1 2.58 6.7 57.36 363.56
