id hr5 hr10 hr15 hr20 hr25 hr30 hr35 hr40
PF3D7_1105300.1 2.1 0.44 0.17 0.64 8.31 22.76 36.24 24.97
PF3D7_1105800.1 4.92 3.44 5.1 26.24 161.42 219.11 192.85 83.51
PF3D7_1105900.1 0.11 0.14 0.16 1.1 7.21 10.19 6.99 3.05
PF3D7_1106100.1 0.33 0.33 0.62 2.18 9.73 29.29 63.83 31.33
PF3D7_1112000.1 9.84 4.79 6.55 17.55 75.17 86.31 101 60.61
PF3D7_1115100.1 0.11 0.25 0.14 0.63 1.15 3.07 6.49 4.1
PF3D7_1117300.1 10.22 5.94 7.59 17.09 30.97 61.79 130.89 84.91
PF3D7_1118900.1 0.23 0.16 0.3 1.56 14.48 23.28 27.83 13.81
PF3D7_1119000.1 0.72 0.54 1 7.76 77.57 154.98 210.76 75.11
PF3D7_1120200.1 8.4 4.59 6.24 21.97 91.96 111.76 189.38 160.45
PF3D7_1121500.1 0.17 0.11 0.1 0.24 1.58 12.21 18.57 7.79
PF3D7_1121800.1 0.08 0.05 0.05 0.14 0.34 0.61 0.92 0.27
PF3D7_1122100.1 0.13 0.09 0.06 0.17 1.59 10.28 20.01 8.73
PF3D7_1122300.1 2.04 1.89 2.2 4.22 5.89 4 11.63 12.7
PF3D7_1122700.1 0.7 0.17 0.1 0.09 1.39 8.65 51.35 51.49
PF3D7_1123500.1 3.36 3.68 6.46 18.09 38.76 45.76 58.4 20.66
PF3D7_1125000.1 0.52 0.3 0.29 1.09 4.21 23.17 58.1 43.02
PF3D7_1127400.1 0.27 0.18 0.67 2.31 12.1 25.4 29.36 11.88
PF3D7_1128700.1 0.64 0.22 0.14 0.35 2.48 11.73 33.76 33.27
PF3D7_1131900.1 0.12 0.05 0.07 0.13 1.3 3.61 4.37 1.23
PF3D7_1132800.1 8.66 1.37 0.89 6.72 70.55 131 175.91 249.37
PF3D7_1133000.1 7.81 1.75 2.18 4.7 13.02 13.65 69 172.64
PF3D7_1133800.1 2.03 1.63 2.84 10.46 51.33 73.33 111.06 63.64
PF3D7_1133900.1 1.88 2.18 3.03 6.72 19.69 46.28 76.3 41.23
PF3D7_1135000.2 0.15 0.09 0.13 0.42 6.67 44.13 48.28 17.75
PF3D7_1135000.3 0.15 0.09 0.13 0.42 6.67 44.13 48.28 17.75
PF3D7_1135400.1 1.61 5.78 11.72 28.6 55.01 102.32 102.77 45.41
PF3D7_1136100.1 0.06 0.03 0.04 0.1 1.91 8.62 9.14 1.28
PF3D7_1137500.1 0.93 0.28 0.24 1.02 9.34 48.44 124.22 87.46
PF3D7_1140000.1 0.09 0.02 0.06 0.13 0.21 0.47 0.58 0.46
PF3D7_1143000.1 0.26 0.11 0.17 0.12 1.48 6.09 14.39 10.53
PF3D7_1143200.1 2.14 0.43 0.37 2.32 10.37 21.82 174.65 177.29
PF3D7_1146100.1 0.88 0.53 0.48 0.94 1.82 8.77 7.4 1.73
PF3D7_1147800.2 1.15 1.13 1.98 7.76 17.42 17.56 21.29 6.16
PF3D7_1149400.1 0.17 0.14 3.78 71.38 642.76 539.31 257.49 23.9
PF3D7_1200700.1 116.88 104.04 74.18 60.61 37.58 35.58 23.46 7.61
PF3D7_1201400.1 0.35 0.33 0.41 0.91 4.7 14.47 12.21 1.77
PF3D7_1201600.1 0.16 0.08 0.09 0.3 1.02 6.16 10.23 5
PF3D7_1204400.1 0.37 0.3 0.36 0.81 3.45 3.42 3.19 1.37
PF3D7_1204900.1 47.01 8.72 1.67 1.75 5.83 6.97 13.32 35.22
PF3D7_1207300.1 0.29 0.27 0.36 0.8 2.74 3.44 2.11 0.66
PF3D7_1207500.1 0.68 0.31 0.67 1.57 13.49 32.71 50.84 32.19
PF3D7_1207700.1 1.21 0.33 0.29 0.73 3.92 6.03 6.06 1.31
PF3D7_1208000.1 0.22 0.23 0.38 1.01 7.49 10.83 21.99 9.86
PF3D7_1210000.1 0.61 0.29 0.22 2.32 25.75 49.85 79.35 45.83
PF3D7_1213500.1 0.05 0.04 0.02 0.08 1.17 1.62 1.4 0.89
PF3D7_1214500.1 0.13 0.46 0.88 2.89 6.55 9.94 10.7 3.1
